AUC,AP,F1
0.5043384938576061,0.21400386186289183,0.17993079584775087
0.5213662667423455,0.20886406405359087,0.16842105263157894
0.5294919721553507,0.2209580485304627,0.16842105263157894
0.5180129045727072,0.20599766066472142,0.14893617021276595
0.5078614813510005,0.20290850227874813,0.1453287197231834
0.48422158286523265,0.20802713408947343,0.1522491349480969
0.464280821247529,0.19569433255532204,0.1347517730496454
0.4981765277696227,0.19092367524379106,0.11029411764705882
0.5060575812733642,0.19701800298077746,0.13194444444444445
0.4463103230057608,0.19023778760177873,0.14736842105263157
