AUC,AP,F1
0.4896323239158631,0.057329835577603086,0.097799511002445
0.5091157728528731,0.05973724138336731,0.097799511002445
0.5329259008627982,0.059046738761693286,0.097799511002445
0.506485084306096,0.0639197248389009,0.08801955990220049
0.49168217447696383,0.05172694408861263,0.06356968215158924
0.5460497377770259,0.06569035451955577,0.08801955990220049
0.49659956014210793,0.060420660822660635,0.11246943765281174
0.485878024023008,0.057253944798364,0.08312958435207823
0.5644363615857441,0.0695813106290805,0.12224938875305623
0.5246940731968646,0.057531057067831945,0.08801955990220049
