AUC,AP,F1
0.47958333333333336,0.03761763356620302,0.0
0.47552083333333334,0.0390823652234461,0.02857142857142857
0.525625,0.058565700931968404,0.11428571428571428
0.485,0.0422921853800292,0.02857142857142857
0.44989583333333333,0.046863623034256854,0.05714285714285714
0.5945833333333335,0.06582712340396676,0.14285714285714285
0.5692708333333333,0.05798970708520888,0.05714285714285714
0.5948958333333333,0.06404857887023524,0.11428571428571428
0.5645833333333333,0.048422226247298014,0.02857142857142857
0.3852083333333333,0.03234827466704848,0.0
