AUC,AP,F1
0.480087358684481,0.018093047381427464,0.0
0.5858684480986639,0.023350646752238767,0.023529411764705882
0.5972250770811922,0.0436467638991912,0.047058823529411764
0.5062050359712229,0.019767426736087515,0.011764705882352941
0.5564619732785201,0.022699026718563407,0.023529411764705882
0.4811408016443987,0.017881852719406347,0.0
0.47822456320657764,0.018185034977403765,0.011764705882352941
0.5280704008221994,0.02270263517408332,0.03529411764705882
0.49447584789311405,0.01852950915389559,0.011764705882352941
0.4956449126413155,0.02047515960798227,0.03529411764705882
