AUC,AP,F1
0.7337244897959184,0.40579849494979464,0.18333333333333332
0.7345918367346939,0.41076050468264763,0.18333333333333332
0.7350510204081633,0.41082117160904874,0.18333333333333332
0.7346428571428572,0.4107364334685035,0.18333333333333332
0.7349489795918368,0.41244489196077566,0.18333333333333332
0.7348979591836734,0.4093433022639356,0.18333333333333332
0.7317857142857143,0.4096537772077955,0.18333333333333332
0.735,0.42492896773408,0.18333333333333332
0.7349489795918367,0.4093797778557418,0.18333333333333332
0.734591836734694,0.40930176352274017,0.18333333333333332
