AUC,AP,F1
0.3587570621468927,0.04416250853032462,0.0
0.5437853107344632,0.14433353384966288,0.21052631578947367
0.3135593220338983,0.038965156183605534,0.0
0.40960451977401136,0.04505094260586776,0.0
0.7429378531073446,0.14448312342147956,0.21052631578947367
0.3488700564971752,0.04068719860707726,0.0
0.5805084745762712,0.1005511992327408,0.10526315789473684
0.6779661016949152,0.15807142289079892,0.21052631578947367
0.4110169491525424,0.044846763256975626,0.0
0.4124293785310734,0.0457223036029962,0.0
