AUC,AP,F1
0.5932291666666668,0.07727872577656131,0.14285714285714285
0.43374999999999997,0.03934810959610548,0.02857142857142857
0.5629166666666666,0.0686901007837614,0.11428571428571428
0.5647916666666667,0.05517471327390508,0.08571428571428572
0.58875,0.15944635602636434,0.14285714285714285
0.5371874999999999,0.04471045551859287,0.0
0.6247916666666666,0.09411532491917626,0.08571428571428572
0.5113541666666668,0.06625346615604656,0.02857142857142857
0.49984375000000003,0.04022172298901378,0.02857142857142857
0.4335416666666667,0.11277937340155016,0.08571428571428572
