AUC,AP,F1
0.6049588900308325,0.031536237981389104,0.03529411764705882
0.5652877697841726,0.02247180449675972,0.011764705882352941
0.4865621788283659,0.019721420402256877,0.03529411764705882
0.46559609455292905,0.019119297730414316,0.023529411764705882
0.5353802672147996,0.021805605817290123,0.03529411764705882
0.5959917780061665,0.029854279439853325,0.047058823529411764
0.5007708119218911,0.03171088344572134,0.047058823529411764
0.5753854059609456,0.026135072383266168,0.03529411764705882
0.5652620760534429,0.024185557426031432,0.023529411764705882
0.4851233299075025,0.018837006806161512,0.023529411764705882
